school_name,Address,postal_code,mrt_desc,bus_desc,dgp_code,zone_code,City,State,latitude,longitude
ADMIRALTY PRIMARY SCHOOL,11   WOODLANDS CIRCLE,738907,Admiralty Station,"TIBS 965, 964, 913",WOODLANDS,NORTH,Singapore,Singapore,1.442679617,103.8001144
ADMIRALTY SECONDARY SCHOOL,31   WOODLANDS CRESCENT,737916,ADMIRALTY MRT,904,WOODLANDS,NORTH,Singapore,Singapore,1.445890689,103.8023982
AHMAD IBRAHIM PRIMARY SCHOOL,10   YISHUN STREET 11,768643,Yishun,"Yishun Ring Road - 812 (white plate); Yishun Ave 2 - 169, 804, 965, 117, 883",YISHUN,NORTH,Singapore,Singapore,1.433681207,103.8329243
AHMAD IBRAHIM SECONDARY SCHOOL,751  YISHUN AVENUE 7,768928,YISHUN MRT,"167, 169, 800, 811, 812, 856, 858, 859, 965, 969, 980",YISHUN,NORTH,Singapore,Singapore,1.436235146,103.8299865
AI TONG SCHOOL,100  Bright Hill Drive,579646,Bishan MRT,"410, 162, 52",BISHAN,SOUTH,Singapore,Singapore,1.36058343,103.8330203
ALEXANDRA PRIMARY SCHOOL,2A   Prince Charles Crescent,159016,Redhill Station  Tiong Bahru Station,"51, 139, 186, 970.",BUKIT MERAH,SOUTH,Singapore,Singapore,1.291299035,103.8239408
ANCHOR GREEN PRIMARY SCHOOL,31   Anchorvale Drive,544969,MRT : NE16-Sengkang LRT : SW7-TongKang,Bus 163 & 372,SENG KANG,NORTH,Singapore,Singapore,1.390662478,103.8872561
ANDERSON PRIMARY SCHOOL,19   ANG MO KIO AVE 9,569785,Yio Chu Kang MRT Station,"Ang Mo Kio Ave 9 - Bus 76, 265, 268",ANG MO KIO,NORTH,Singapore,Singapore,1.384665965,103.8412384
ANDERSON SECONDARY SCHOOL,10   ANG MO KIO STREET 53,569206,"ANG MO KIO MRT, YIO CHU KANG MRT","265, 548, 45, 50, 72",ANG MO KIO,NORTH,Singapore,Singapore,1.374242189,103.85143
ANDERSON SERANGOON JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6,569843,Yio Chu Kang MRT Station,"13, 45, 86, 162, 269, 825, 851, 852, 853",ANG MO KIO,NORTH,Singapore,Singapore,1.37839671,103.845886
ANG MO KIO PRIMARY SCHOOL,20   ANG MO KIO AVENUE 3,569920,Ang Mo Kio MRT Station,"76,132,165,166,169,200,000,000",ANG MO KIO,SOUTH,Singapore,Singapore,1.369092058,103.8390414
ANG MO KIO SECONDARY SCHOOL,6    ANG MO KIO STREET 22,569362,ANG MO KIO MRT,"13, 74, 76, 88, 130, 132, 133, 136, 165, 169, 265, 268, 269, 851, 852",ANG MO KIO,SOUTH,Singapore,Singapore,1.367359004,103.8426004
ANGLICAN HIGH SCHOOL,600  UPPER CHANGI ROAD,487012,TANAH MERAH MRT,"2, 9, 12, 14, 24, 31, 35, 38, 45, 47, 48",BEDOK,EAST,Singapore,Singapore,1.330624547,103.9410621
ANGLO-CHINESE JUNIOR COLLEGE,25   DOVER CLOSE EAST,139745,Buona Vista,"74,95,100,105,106,111,145,147,191,196,198,602",QUEENSTOWN,WEST,Singapore,Singapore,1.303287954,103.785263
ANGLO-CHINESE SCHOOL (BARKER ROAD),60   BARKER ROAD,309919,"NEWTON MRT, STEVENS MRT","48, 66, 67, 170, 171, 700, 960",NOVENA,SOUTH,Singapore,Singapore,1.319450608,103.8356985
ANGLO-CHINESE SCHOOL (INDEPENDENT),121  DOVER ROAD,139650,"DOVER MRT, BUONA VISTA MRT, ONE-NORTH MRT","33, 74, 166, 196",QUEENSTOWN,SOUTH,Singapore,Singapore,1.302444788,103.7802498
ANGLO-CHINESE SCHOOL (JUNIOR),16   WINSTEDT ROAD,227988,Newton MRT Station,"5, 54 , 124 , 128 , 143 ,162 , 162M , 167 , 171 , 700 and 700A.",CENTRAL,SOUTH,Singapore,Singapore,1.309321297,103.8406435
ANGLO-CHINESE SCHOOL (PRIMARY),50   BARKER ROAD,309918,Newton MRT Station,"Bus 48, 66, 67, 170, 171, 603, 700",NOVENA,SOUTH,Singapore,Singapore,1.318718599,103.8353452
ANGSANA PRIMARY SCHOOL,3    Tampines Street 22,529366,Tampines and Simei Stations,"Bus Service 8, 17, 18, 28, 34, 39, 59, 518, Feeder Bus Service 292",TAMPINES,EAST,Singapore,Singapore,1.348465689,103.9515771
ASSUMPTION ENGLISH SCHOOL,622  UPPER BUKIT TIMAH ROAD,678117,CASHEW MRT,"67, 75, 170, 171, 176, 178, 184, 961, 963, 970",BUKIT PANJANG,WEST,Singapore,Singapore,1.369051848,103.7656574
ASSUMPTION PATHWAY SCHOOL,30   Cashew Road,679697,"Downtown Line 2, Cashew mrt","SBS Transit No 170    SMRT No 67, 75, 171, 176, 178, 184, 961, 963 & 970",BUKIT PANJANG,WEST,Singapore,Singapore,1.370478019,103.7667998
BARTLEY SECONDARY SCHOOL,10   JALAN BUNGA RAMPAI,538403,"BARTLEY MRT, TAI SENG MRT","22, 24, 28, 43, 58, 62, 70, 70M, 76, 80, 80A, 93, 158",TOA PAYOH,SOUTH,Singapore,Singapore,1.34001742,103.882455
BEACON PRIMARY SCHOOL,36   Bukit Panjang Ring Road,679944,Bangkit LRT,"920, 922",BUKIT PANJANG,WEST,Singapore,Singapore,1.384236677,103.7737544
BEATTY SECONDARY SCHOOL,1    TOA PAYOH NORTH,318990,"BRADDELL MRT, TOA PAYOH MRT","28, 56, 73, 88, 93, 105, 153, 155, 157, 159, 163, 231, 232",TOA PAYOH,SOUTH,Singapore,Singapore,1.341790511,103.8520649
BEDOK GREEN PRIMARY SCHOOL,1    BEDOK SOUTH AVE 2,469317,"Bedok MRT Station, Tanah Merah MRT Station","Bus No. 2, 9, 12, 24, 31, 34 & 38",BEDOK,EAST,Singapore,Singapore,1.323996276,103.937745
BEDOK GREEN SECONDARY SCHOOL,360  BEDOK NORTH AVE 3,469722,"BEDOK MRT, BEDOK RESERVOIR MRT","14, 17, 18, 28, 46, 66, 67, 69, 168, 222, 228, 506",BEDOK,EAST,Singapore,Singapore,1.333826681,103.9355132
BEDOK SOUTH SECONDARY SCHOOL,1    JALAN LANGGAR BEDOK,468585,TANAH MERAH MRT,"10, 14, 45",BEDOK,EAST,Singapore,Singapore,1.325653417,103.9506212
BEDOK VIEW SECONDARY SCHOOL,6    BEDOK SOUTH AVENUE 3,469293,TANAH MERAH MRT,"2, 9, 12, 14, 24, 25, 31, 35, 38, 45, 46, 47, 48, 506",BEDOK,EAST,Singapore,Singapore,1.323999396,103.9434752
BENDEMEER PRIMARY SCHOOL,91   BENDEMEER ROAD,339948,"Boon Keng, Kallang","13 23 31 61 64 65 65M 66 125, 125X ,133,140,147,853,857,985",KALLANG,SOUTH,Singapore,Singapore,1.322208475,103.8653513
BENDEMEER SECONDARY SCHOOL,1    ST WILFRED ROAD,327919,BOON KENG MRT,"13,  23,  31,  64,  65,  66, 125, 133, 140, 147, 857, 985",KALLANG,SOUTH,Singapore,Singapore,1.324611113,103.8609703
BLANGAH RISE PRIMARY SCHOOL,91   TELOK BLANGAH HEIGHTS,109100,"Telok Blangah, Tiong Bahru & Redhill",SBS 273 & 124,BUKIT MERAH,SOUTH,Singapore,Singapore,1.276130304,103.8086392
BOON LAY GARDEN PRIMARY SCHOOL,20   BOON LAY DRIVE,649930,Lakeside & Boon Lay,"30,99,154,178,180,187,240,246",JURONG WEST,WEST,Singapore,Singapore,1.342846708,103.712969
BOON LAY SECONDARY SCHOOL,11   JURONG WEST STREET 65,648354,BOON LAY MRT,"99, 181, 192, 193, 242, 243, 257, 502, 502A",JURONG WEST,WEST,Singapore,Singapore,1.343223723,103.7017029
BOWEN SECONDARY SCHOOL,2    LORONG NAPIRI,547529,"HOUGANG MRT, SERANGOON MRT, SENGKANG MRT","43, 70, 73, 103, 109, 156, 854, 25, 74, 74E, 76, 112, 132, 147, 165, 55",HOUGANG,NORTH,Singapore,Singapore,1.370751073,103.877459
BROADRICK SECONDARY SCHOOL,61   DAKOTA CRESCENT,399935,DAKOTA MRT,"10, 16, 30, 31, 32, 33",GEYLANG,EAST,Singapore,Singapore,1.30750538,103.8866754
BUKIT BATOK SECONDARY SCHOOL,50   BUKIT BATOK WEST AVE 8,658962,BUKIT BATOK MRT,"66, 66B, 157, 174, 174E, 178, 506, 941, 991",BUKIT BATOK,WEST,Singapore,Singapore,1.348351215,103.7408734
BUKIT MERAH SECONDARY SCHOOL,10   LENGKOK BAHRU,159050,REDHILL MRT,"14, 32, 33, 63, 64, 120, 132, 139, 145, 147, 196, 197, 855, 961",BUKIT MERAH,SOUTH,Singapore,Singapore,1.285751537,103.8132084
BUKIT PANJANG GOVT. HIGH SCHOOL,7    CHOA CHU KANG AVE 4,689809,CHOA CHU KANG MRT,"300, 983",CHOA CHU KANG,WEST,Singapore,Singapore,1.382136722,103.7381344
BUKIT PANJANG PRIMARY SCHOOL,109  CASHEW ROAD,679676,From Pending LRT station to Choa Chu Kang MRT station,"75, 184",BUKIT PANJANG,WEST,Singapore,Singapore,1.373472183,103.7693175
BUKIT TIMAH PRIMARY SCHOOL,111  Lorong Kismis,598112,"Beauty World, Bukit Batok and Clementi Stations",173,BUKIT TIMAH,WEST,Singapore,Singapore,1.337749867,103.7668553
BUKIT VIEW PRIMARY SCHOOL,18   BUKIT BATOK STREET 21,659634,Bukit Batok MRT Station,"173,157,178,852,66,106,61,506,963,77",BUKIT BATOK,WEST,Singapore,Singapore,1.345945246,103.7535888
BUKIT VIEW SECONDARY SCHOOL,16   BUKIT BATOK STREET 21,659633,BUKIT BATOK MRT,"173, 189, 990",BUKIT BATOK,WEST,Singapore,Singapore,1.345723151,103.7522778
CANBERRA PRIMARY SCHOOL,21   ADMIRALTY DRIVE,757714,Sembawang MRT Station,Bus No. 859,SEMBAWANG,NORTH,Singapore,Singapore,1.451064007,103.8159709
CANBERRA SECONDARY SCHOOL,51   SEMBAWANG DRIVE,757699,SEMBAWANG MRT,"859, 962",SEMBAWANG,NORTH,Singapore,Singapore,1.453279711,103.8144707
CANOSSA CATHOLIC PRIMARY SCHOOL,1    Sallim Road,387621,Nearest MRT station: Mattar Station (about 7-minute walk),"Aljunied Road (same side as CCPS): 62, 64, 100    Aljunied Road (opposite CCPS): 61, 62, 64, 66, 100, 135, 154, 155    Merpati Rd (after Jln Anggerek): 40, 61, 63, 65, 66, 135,",GEYLANG,EAST,Singapore,Singapore,1.32651106,103.8817569
CANTONMENT PRIMARY SCHOOL,1    Cantonment Close,88256,Tanjong Pagar Outram,"75, 167, 196",BUKIT MERAH,SOUTH,Singapore,Singapore,1.275505441,103.8399227
CASUARINA PRIMARY SCHOOL,30   PASIR RIS ST 41,518935,Pasir Ris MRT Station,"Nos. 12, 21 & 358",PASIR RIS,EAST,Singapore,Singapore,1.372789016,103.9572913
CATHOLIC HIGH SCHOOL,9    BISHAN STREET 22,579767,BISHAN MRT,"13, 52, 54, 88, 156, 162, 162M, 410",BISHAN,NORTH,Singapore,Singapore,1.354788877,103.8449341
CATHOLIC JUNIOR COLLEGE,129  WHITLEY ROAD,297822,Toa Payoh MRT Station Botanic Gardens MRT Station Novena MRT Station Orchard MRT Station,"105, 132, 151, 153, 154, 156, 186, 996, 985",NOVENA,SOUTH,Singapore,Singapore,1.324648771,103.8355514
CEDAR GIRLS' SECONDARY SCHOOL,1    CEDAR AVENUE,349692,"WOODLEIGH MRT, POTONG PASIR MRT, MATTAR MRT","8, 61, 64, 65, 66, 90, 100, 135, 151, 154, 155",TOA PAYOH,EAST,Singapore,Singapore,1.334527365,103.873791
CEDAR PRIMARY SCHOOL,15   CEDAR AVENUE,349700,Potong Pasir MRT Station,8; 61; 65; 66; 100; 135; 154;,TOA PAYOH,SOUTH,Singapore,Singapore,1.335660844,103.8756201
CHANGKAT CHANGI SECONDARY SCHOOL,23   SIMEI ST 3,529894,SIMEI MRT,"5, 9, 20, 38",TAMPINES,EAST,Singapore,Singapore,1.34036114,103.9527251
CHANGKAT PRIMARY SCHOOL,11   SIMEI ST 3,529896,Simei MRT Station,"9,38,5",TAMPINES,EAST,Singapore,Singapore,1.340208008,103.9521834
CHIJ (KATONG) PRIMARY,17   MARTIA ROAD,424821,EUNOS PAYA LEBAR,"15, 55, 36, 16, 135, 197, 196, 31, 13, 76, 12, 10, 14, 32, 40",BEDOK,EAST,Singapore,Singapore,1.306526862,103.9109216
CHIJ (KELLOCK),1    Bukit Teresa Road,99757,Outram Park Station,"61, 124, 143, 166",BUKIT MERAH,SOUTH,Singapore,Singapore,1.274740489,103.827954
CHIJ KATONG CONVENT,346  MARINE TERRACE,449150,KEMBANGAN MRT,"4N, 13, 16, 31, 36, 36A, 36B, 43, 47, 48, 55, 134, 135, 135A, 150, 196, 196E, 197, 853C, 763",MARINE PARADE,EAST,Singapore,Singapore,1.306597224,103.9177542
CHIJ OUR LADY OF GOOD COUNSEL,2C   Burghley Drive,558979,"Ang Mo Kio MRT, Bishan MRT, Serangoon MRT station.","317 Feeder Bus Service from Serangoon Interchange. 135,136 from Ang Mo Kio Interchange.",SERANGOON,SOUTH,Singapore,Singapore,1.357951427,103.8642502
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD,534793,Hougang MRT,"74, 136, 147, 102, 112, 113, 119, 136",HOUGANG,SOUTH,Singapore,Singapore,1.373174017,103.8976594
CHIJ OUR LADY QUEEN OF PEACE,4    Chestnut Drive,679287,"Bukit Batok, Cashew, Hillview, Bukit Panjang","180, 67, 171, 176, 177, 178, 184, 961, 963, 970",BUKIT PANJANG,WEST,Singapore,Singapore,1.366758014,103.7676948
CHIJ PRIMARY (TOA PAYOH),628  Lorong 1 Toa Payoh,319765,Toa Payoh,"59, 231, 141",TOA PAYOH,SOUTH,Singapore,Singapore,1.332818153,103.8419184
CHIJ SECONDARY (TOA PAYOH),626  LORONG 1 TOA PAYOH,319764,TOA PAYOH MRT,"59, 141, 231",TOA PAYOH,SOUTH,Singapore,Singapore,1.33246213,103.8427194
CHIJ ST. JOSEPH'S CONVENT,62   SENGKANG EAST WAY,548595,SENGKANG MRT,"50, 82, 86, 88, 119, 136",SENG KANG,NORTH,Singapore,Singapore,1.391780991,103.9025774
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501  ANG MO KIO STREET 13,569405,"ANG MO KIO MRT, YIO CHU KANG MRT","76, 265, 268, 269",ANG MO KIO,NORTH,Singapore,Singapore,1.373729673,103.8343089
CHIJ ST. THERESA'S CONVENT,160  LOWER DELTA ROAD,99138,"HARBOURFRONT MRT, TIONG BAHRU MRT","65, 121, 123, 123M, 124, 131, 131M, 195, 195A, 272, 855",BUKIT MERAH,SOUTH,Singapore,Singapore,1.276029248,103.8223439
CHONGFU SCHOOL,170  YISHUN AVENUE 6,768959,Yishun MRT station,Feeder Service 811,YISHUN,NORTH,Singapore,Singapore,1.438462304,103.8390707
CHONGZHENG PRIMARY SCHOOL,1    TAMPINES STREET 21,529392,Tampines MRT Station,"3,17,18",TAMPINES,EAST,Singapore,Singapore,1.350611306,103.9513173
CHRIST CHURCH SECONDARY SCHOOL,20   WOODLANDS DRIVE 17,737924,"WOODLANDS MRT, WOODLANDS SOUTH MRT (End 2019)","901, 901M",WOODLANDS,NORTH,Singapore,Singapore,1.426539819,103.7929872
CHUA CHU KANG PRIMARY SCHOOL,20   CHOA CHU KANG AVENUE 2,689905,Choa Chu Kang MRT Station and Southview LRT Station,Bus Service 300,CHOA CHU KANG,WEST,Singapore,Singapore,1.377608283,103.7412704
CHUA CHU KANG SECONDARY SCHOOL,3    TECK WHYE CRESCENT,688845,CHOA CHU KANG MRT,"190, 307, 975, 982E, 985",CHOA CHU KANG,WEST,Singapore,Singapore,1.383274838,103.7520245
CHUNG CHENG HIGH SCHOOL (MAIN),50   GOODMAN ROAD,439012,DAKOTA MRT,"10, 12, 14, 16, 30, 31, 32, 33, 40, 43, 135, 134, 196, 197",MARINE PARADE,EAST,Singapore,Singapore,1.305381131,103.8907366
CHUNG CHENG HIGH SCHOOL (YISHUN),11   YISHUN STREET 61,768547,KHATIB MRT,"85, 811, 812, 851, 852, 853, 854, 855, 858, 860, 965, 969",YISHUN,NORTH,Singapore,Singapore,1.41874603,103.8373193
CLEMENTI PRIMARY SCHOOL,8    CLEMENTI AVE 3,129903,Clementi Station,We are just beside Clementi Bus Interchange.,CLEMENTI,WEST,Singapore,Singapore,1.315808563,103.7630548
CLEMENTI TOWN SECONDARY SCHOOL,10   CLEMENTI AVE 3,129904,CLEMENTI MRT,"14, 105, 106, 147, 156, 165, 166, 173, 175, 184, 196, 282, 284, 285, 7, 96, 99",CLEMENTI,WEST,Singapore,Singapore,1.315474974,103.7620787
COMMONWEALTH SECONDARY SCHOOL,698  WEST COAST ROAD,608784,"JURONG EAST MRT, CLEMENTI MRT","30, 51, 78, 79, 143, 143M, 176, 201",JURONG EAST,WEST,Singapore,Singapore,1.319128078,103.7457555
COMPASSVALE PRIMARY SCHOOL,21   COMPASSVALE ST,545091,Sengkang,"83 (along Compassvale Street) 27, 89, 89E & 965 (along Compassvale Road).",SENG KANG,NORTH,Singapore,Singapore,1.394445295,103.8978122
COMPASSVALE SECONDARY SCHOOL,51   COMPASSVALE CRESCENT,545083,"SENGKANG MRT, COMPASSVALE LRT","27,  82,  83,  86,  88,  89, 89E, 136,  161, 371, 965",SENG KANG,NORTH,Singapore,Singapore,1.396217575,103.8998722
CONCORD PRIMARY SCHOOL,3    CHOA CHU KANG AVE 4,689814,Choa Chu Kang MRT Station,Bus 300 and 983,CHOA CHU KANG,WEST,Singapore,Singapore,1.380411513,103.7361428
CORPORATION PRIMARY SCHOOL,31   JURONG WEST STREET 24,648347,BOON LAY STATION LAKESIDE STATION,"157 (from Boon Lay Interchange), or 185",JURONG WEST,WEST,Singapore,Singapore,1.35148549,103.7075784
CRESCENT GIRLS' SCHOOL,357  TANGLIN ROAD,247961,REDHILL MRT,"32, 111, 122, 132, 51, 139, 186, 970",BUKIT MERAH,SOUTH,Singapore,Singapore,1.293305114,103.8176348
CREST SECONDARY SCHOOL,561  JURONG EAST STREET 24,609561,"BUKIT BATOK MRT, JURONG EAST MRT","52, 98, 98M, 105, 176, 183, 187, 188, 188R, 333, 502,",JURONG EAST,WEST,Singapore,Singapore,1.343555023,103.7425431
DAMAI PRIMARY SCHOOL,52   BEDOK RESERVOIR CRESCENT,479226,Bedok North MRT Station,"Bus 228,66,65,22,21,5 and 506",BEDOK,EAST,Singapore,Singapore,1.335351315,103.9212683
DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD,479229,"BEDOK RESERVOIR MRT, BEDOK MRT, TAMPINES MRT","5, 21, 22, 59, 65, 66, 228, 506, CT18",BEDOK,EAST,Singapore,Singapore,1.33754548,103.9264171
DAZHONG PRIMARY SCHOOL,35   BUKIT BATOK STREET 31,659441,Bukit Gombak,"187, 188",BUKIT BATOK,WEST,Singapore,Singapore,1.359101577,103.7481587
DE LA SALLE SCHOOL,11   Choa Chu Kang St 52,689285,YEW TEE MRT,"TIBS 302, 979",CHOA CHU KANG,WEST,Singapore,Singapore,1.395071916,103.7434436
DEYI SECONDARY SCHOOL,1    ANG MO KIO STREET 42,569277,ANG MO KIO MRT,"22, 24, 25, 73, 74, 76, , 88, 132, 135, 159, 162, 165, 261, 262, 268, 853",ANG MO KIO,SOUTH,Singapore,Singapore,1.367347421,103.8519361
DUNEARN SECONDARY SCHOOL,21   BUKIT BATOK WEST AVENUE 2,659204,"BUKIT BATOK MRT, BUKIT GOMBAK MRT","160, 180, 187, 188, 945, 947, 985",BUKIT BATOK,WEST,Singapore,Singapore,1.363638093,103.7450033
DUNMAN HIGH SCHOOL,10   TANJONG RHU ROAD,436895,"ALJUNIED MRT, KALLANG MRT, MOUNTBATTEN MRT","12, 14, 30, 158, 196",KALLANG,EAST,Singapore,Singapore,1.299125304,103.8828617
DUNMAN SECONDARY SCHOOL,21   TAMPINES STREET 45,529093,TAMPINES EAST MRT,"28, 29, 293",TAMPINES,EAST,Singapore,Singapore,1.36054751,103.9562073
EAST SPRING PRIMARY SCHOOL,31   TAMPINES ST 33,529258,Tampines,"291, 28",TAMPINES,EAST,Singapore,Singapore,1.353041046,103.9617971
EAST SPRING SECONDARY SCHOOL,30   TAMPINES STREET 34,529231,"TAMPINES MRT, TAMPINES EAST MRT","3, 4, 9, 12, 17, 18, 19, 21, 28, 29, 34, 37, 39, 59, 81, 291, 518",TAMPINES,EAST,Singapore,Singapore,1.3567583,103.9611048
EDGEFIELD PRIMARY SCHOOL,41   EDGEFIELD PLAINS,828869,Punggol MRT,"3, 34, 62, 82, 83, 136",PUNGGOL,NORTH,Singapore,Singapore,1.400297835,103.9074305
EDGEFIELD SECONDARY SCHOOL,36   PUNGGOL FIELD,828814,PUNGGOL MRT,"3, 34, 62, 82, 83, 119, 136, 381, 382G",PUNGGOL,NORTH,Singapore,Singapore,1.400179295,103.9021412
ELIAS PARK PRIMARY SCHOOL,11   PASIR RIS STREET 52,518866,Pasir Ris MRT,"3, 15, 39, 53, 81, 88, 89, 357, 403, 518",PASIR RIS,EAST,Singapore,Singapore,1.375056963,103.9452894
ENDEAVOUR PRIMARY SCHOOL,10   Admiralty Link,757521,Sembawang MRT Station,"859, 962",SEMBAWANG,NORTH,Singapore,Singapore,1.45417629,103.8174273
EUNOIA JUNIOR COLLEGE,2    Sin Ming Place,573838,"Bishan MRT Station, Marymount MRT Station, Ang Mo Kio MRT Station","13, 52, 74, 88, 130, 410G, 410W, 851, 852",BISHAN,NORTH,Singapore,Singapore,1.362454301,103.840484
EUNOS PRIMARY SCHOOL,95   JALAN EUNOS,419529,Nearest MRT Station - Eunos,"Bus Services (SBS): 15, 21, 25, 51, 55, 63, 93, 94, 60 Bus Services (SMRT) : 61, 854, 966",GEYLANG,EAST,Singapore,Singapore,1.324388363,103.9043748
EVERGREEN PRIMARY SCHOOL,31   WOODLANDS CIRCLE,738908,Admiralty,"913(front), 911 & 858(back)",WOODLANDS,NORTH,Singapore,Singapore,1.444148359,103.7945453
EVERGREEN SECONDARY SCHOOL,11   WOODLANDS STREET 83,738489,WOODLANDS MRT,911,WOODLANDS,NORTH,Singapore,Singapore,1.441220838,103.7937715
FAIRFIELD METHODIST SCHOOL (PRIMARY),100  DOVER ROAD,139648,"One-North MRT, Buona Vista MRT & Dover MRT","SBS Bus 14,33,74,166 & 196",QUEENSTOWN,SOUTH,Singapore,Singapore,1.301004419,103.7854556
FAIRFIELD METHODIST SCHOOL (SECONDARY),102  DOVER ROAD,139649,"BUONA VISTA MRT, ONE-NORTH MRT","33, 74, 166, 196",QUEENSTOWN,SOUTH,Singapore,Singapore,1.301920884,103.7843681
FAJAR SECONDARY SCHOOL,31   GANGSA ROAD,678972,"BUKIT PANJANG MRT, BUKIT PANJANG LRT, PETIR LRT","67, 75, 75A, 170, 171, 176, 177, 178, 180, 180A, 920, 922, 960, 961, 961C, 963, 963E, 963R, 970, 972, 972A, 973, 973A, 975, 979",BUKIT PANJANG,WEST,Singapore,Singapore,1.375565392,103.7638819
FARRER PARK PRIMARY SCHOOL,2    FARRER PARK ROAD,217567,Farrer Park MRT Station,131,KALLANG,SOUTH,Singapore,Singapore,1.312368567,103.8507662
FENGSHAN PRIMARY SCHOOL,307  BEDOK NORTH ROAD,469680,Bedok MRT,"18, 228, 222, 17, 69, 66, 67, 168, 28, 506, 14, 45",BEDOK,EAST,Singapore,Singapore,1.330324955,103.9318854
FERN GREEN PRIMARY SCHOOL,70   Fernvale Link,797538,Kupang LRT Station (SW3),"85, 102",SENG KANG,EAST,Singapore,Singapore,1.397620783,103.8802101
FERNVALE PRIMARY SCHOOL,1    Fernvale Lane,797701,Fernvale LRT (Sengkang West Loop),"Sengkang and Toa Payoh interchange - no 163, Along Yio Chu Kang Road, - no 70, 86, 103 and 854.",SENG KANG,NORTH,Singapore,Singapore,1.389979408,103.874101
FIRST TOA PAYOH PRIMARY SCHOOL,7    LORONG 8 TOA PAYOH,319252,Braddell & Toa Payoh Stations,"157,153,105,159,88,FS238",TOA PAYOH,SOUTH,Singapore,Singapore,1.340322987,103.8555299
FRONTIER PRIMARY SCHOOL,20   Jurong West Street 61,648200,Pioneer MRT Station (EW28),241,JURONG WEST,WEST,Singapore,Singapore,1.336643122,103.6996828
FUCHUN PRIMARY SCHOOL,23   WOODLANDS AVENUE 1,739063,Marsiling,"187,856,912,925,950,960,961,963,963E,963R,966",WOODLANDS,NORTH,Singapore,Singapore,1.430639768,103.7781752
FUCHUN SECONDARY SCHOOL,21   WOODLANDS AVENUE 1,739062,"MARSILING MRT, WOODLANDS MRT","187, 856, 912, 913M, 925, 926, 950, 960, 961, 963, 966, 912B",WOODLANDS,NORTH,Singapore,Singapore,1.430833988,103.777148
FUHUA PRIMARY SCHOOL,65   JURONG EAST STREET 13,609647,JURONG EAST MRT STATION,"51,66,66B,78,79,97,97A,98,105,105B,143,176,197,333,334,335,506",JURONG EAST,WEST,Singapore,Singapore,1.336403763,103.7366695
FUHUA SECONDARY SCHOOL,5    JURONG WEST STREET 41,649410,"CHINESE GARDEN MRT, LAKESIDE MRT","49, 98, 99, 157, 180, 185, 187, 198, 334, 335, 502, 657",JURONG WEST,WEST,Singapore,Singapore,1.346879897,103.7267597
GAN ENG SENG PRIMARY SCHOOL,100  REDHILL CLOSE,158901,Redhill,"14, 63, 147, 196, 197, 855, 961",BUKIT MERAH,SOUTH,Singapore,Singapore,1.285955393,103.8152282
GAN ENG SENG SCHOOL,1    HENDERSON ROAD,159561,"REDHILL MRT, TIONG BAHRU MRT","14, 16, 32, 33, 51, 63, 64, 120, 122, 145, 139, 186, 851, 970",BUKIT MERAH,SOUTH,Singapore,Singapore,1.289071145,103.8237337
GEYLANG METHODIST SCHOOL (PRIMARY),4    Geylang East Central,389706,Aljunied,"80, 134, 155",GEYLANG,EAST,Singapore,Singapore,1.317476827,103.8839028
GEYLANG METHODIST SCHOOL (SECONDARY),2    GEYLANG EAST CENTRAL,389705,ALJUNIED MRT,"40, 62, 63, 80, 100, 125, 134, 155, 158",GEYLANG,EAST,Singapore,Singapore,1.317658971,103.8825037
GONGSHANG PRIMARY SCHOOL,1    TAMPINES STREET 42,529176,Tampines (Downtown Line and East West Line) and Tampines East (Downtown Line),"4,8,18,19,21,37,38,81, 293",TAMPINES,EAST,Singapore,Singapore,1.357348982,103.9488719
GREENDALE PRIMARY SCHOOL,50   Edgedale Plains,828848,Punggol LRT:  Coral Edge,"3,62, 83, 85, 389",PUNGGOL,NORTH,Singapore,Singapore,1.396402656,103.912566
GREENDALE SECONDARY SCHOOL,51   EDGEDALE PLAINS,828866,"PUNGGOL MRT, MERIDIAN LRT","3, 62, 83, 85, 136, 386",PUNGGOL,NORTH,Singapore,Singapore,1.3972808,103.9115758
GREENRIDGE PRIMARY SCHOOL,11   JELAPANG ROAD,677744,"Senja LRT station, Jelapang LRT Station","Bus 920, 922, 972",BUKIT PANJANG,WEST,Singapore,Singapore,1.385873754,103.7678146
GREENRIDGE SECONDARY SCHOOL,32   BUKIT PANJANG RING ROAD,679938,BANGKIT LRT,"722, 920, 922, 971E, 972",BUKIT PANJANG,WEST,Singapore,Singapore,1.381924186,103.773617
GREENWOOD PRIMARY SCHOOL,11   WOODLANDS  DR  62,737942,Admiralty MRT Station,"912, 913, 962",WOODLANDS,NORTH,Singapore,Singapore,1.440110498,103.8046293
GUANGYANG PRIMARY SCHOOL,6    Bishan Street 12,579806,Bishan MRT,"13,52,54,55,56,57,59,88,93,156,157,163,410",BISHAN,SOUTH,Singapore,Singapore,1.346042665,103.8492848
