school_name,Address,postal_code,mrt_desc,bus_desc,dgp_code,zone_code,City,State,latitude,longitude
PIONEER PRIMARY SCHOOL,23   JURONG WEST STREET 81,649076,Boon Lay Station,243,JURONG WEST,WEST,Singapore,Singapore,1.348720927,103.6948679
POI CHING SCHOOL,21   TAMPINES STREET 71,529067,Tampines MRT,"Bus 293, 72, 27 and 168",TAMPINES,EAST,Singapore,Singapore,1.358087001,103.9353525
PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6,569845,YIO CHU KANG MRT,"45, 70, 71, 76, 86, 529, 825, 851, 851e, 852, 853",ANG MO KIO,SOUTH,Singapore,Singapore,1.381804695,103.8424318
PRINCESS ELIZABETH PRIMARY SCHOOL,30   BUKIT BATOK WEST AVENUE 3,659163,Bukit Batok MRT Station,"Bus 174, 157, 178, 66, 941",BUKIT BATOK,WEST,Singapore,Singapore,1.349194518,103.7409996
PUNGGOL COVE PRIMARY SCHOOL,52   Sumang Walk,828674,Nibong LRT Station,"382, 84",PUNGGOL,EAST,Singapore,Singapore,1.411563565,103.8989704
PUNGGOL GREEN PRIMARY SCHOOL,98   Punggol Walk,828772,Punggol MRT Station,na,PUNGGOL,EAST,Singapore,Singapore,1.401510969,103.8985254
PUNGGOL PRIMARY SCHOOL,61   HOUGANG AVENUE 8,538787,"Hougang, Buangkok",62 74 88 113 147 325,HOUGANG,SOUTH,Singapore,Singapore,1.378200623,103.8947533
PUNGGOL SECONDARY SCHOOL,51   EDGEFIELD PLAINS,828870,"PUNGGOL MRT, COVE LRT","3, 34, 62, 82, 83, 85, 136, 965, 386",PUNGGOL,NORTH,Singapore,Singapore,1.402126295,103.9091193
PUNGGOL VIEW PRIMARY SCHOOL,9    Punggol Place,828845,Punggol MRT Station,50 382,PUNGGOL,EAST,Singapore,Singapore,1.405145826,103.9051564
QIFA PRIMARY SCHOOL,50   WEST COAST AVENUE,128104,Clementi MRT Station,"30,51,78,143,285",CLEMENTI,WEST,Singapore,Singapore,1.312621542,103.75703
QIHUA PRIMARY SCHOOL,5    WOODLANDS STREET 81,738525,Woodlands MRT Station,911,WOODLANDS,NORTH,Singapore,Singapore,1.442035966,103.7883398
QUEENSTOWN PRIMARY SCHOOL,310  MARGARET DR,149303,Queenstown MRT,"32, 111, 145, 195",QUEENSTOWN,SOUTH,Singapore,Singapore,1.29559366,103.8075486
QUEENSTOWN SECONDARY SCHOOL,1    STRATHMORE ROAD,148800,"REDHILL MRT, QUEENSTOWN MRT","33, 51, 64, 111, 120, 139, 145, 186, 970",QUEENSTOWN,SOUTH,Singapore,Singapore,1.293533294,103.8131755
QUEENSWAY SECONDARY SCHOOL,2A   MARGARET DRIVE,149295,"COMMONWEALTH MRT, QUEENSTOWN MRT","32, 51, 93, 100, 105, 111, 122, 123, 145, 147, 153, 186, 195, 196, 198, 855, 961, 970",QUEENSTOWN,SOUTH,Singapore,Singapore,1.300475167,103.8017236
RADIN MAS PRIMARY SCHOOL,1    BUKIT PURMEI AVENUE,99840,Tiong Bahru MRT HarbourFront MRT,"SBS 123, 131, 275 SBS 65",BUKIT MERAH,SOUTH,Singapore,Singapore,1.274961612,103.82418
RAFFLES GIRLS' PRIMARY SCHOOL,21   Hillcrest Road,289072,TAN KAH KEE MRT STATION,"66, 67, 74, 151, 154, 156, 157, 170, 171, 174, 852, 961",BUKIT TIMAH,SOUTH,Singapore,Singapore,1.330073919,103.8062213
RAFFLES GIRLS' SCHOOL (SECONDARY),2    BRADDELL RISE,318871,"BRADDELL MRT, CALDECOTT MRT, MARYMOUNT MRT, BISHAN MRT","93, 156, 157, 163",CENTRAL,SOUTH,Singapore,Singapore,1.342899455,103.8431982
RAFFLES INSTITUTION,1    RAFFLES INSTITUTION LANE,575954,"BISHAN MRT, MARYMOUNT MRT","410,13,50,52,53,54,55,56,57,58,59,71,74,88,93,128,130,132,156,157,162,163,165,166,167,851,852,855,980",BISHAN,SOUTH,Singapore,Singapore,1.346964855,103.8437657
RED SWASTIKA SCHOOL,350  BEDOK NORTH AVENUE 3,469719,Bedok MRT,"Bus 14, 17, 18, 28, 66, 67, 69, 222, 227, 228",BEDOK,EAST,Singapore,Singapore,1.33349383,103.9343749
REGENT SECONDARY SCHOOL,50   CHOA CHU KANG NORTH 5,689621,"YEW TEE MRT, CHOA CHU KANG MRT","307, 302, 160, 170, 178, 925, 927, 960, 961",CHOA CHU KANG,WEST,Singapore,Singapore,1.393094082,103.7506856
RIVER VALLEY HIGH SCHOOL,6    BOON LAY AVENUE,649961,BOON LAY MRT,"99, 157, 172, 174, 174E, 198, 502, 502A, SS4, NR5",JURONG WEST,WEST,Singapore,Singapore,1.344595842,103.7081907
RIVER VALLEY PRIMARY SCHOOL,2    RIVER VALLEY GREEN,237993,Somerset MRT,"5, 16, 32, 54, 65, 75, 175, 970",CENTRAL,SOUTH,Singapore,Singapore,1.294183475,103.8360189
RIVERSIDE PRIMARY SCHOOL,110  Woodlands Crescent,737803,Admiralty MRT Station,Bus No 913 and Bus No 964,WOODLANDS,NORTH,Singapore,Singapore,1.447047335,103.801832
RIVERSIDE SECONDARY SCHOOL,3    WOODLANDS STREET 81,738524,WOODLANDS MRT,"858, 900, 911, 913, 964, 962, 965, 969, 169, 903",WOODLANDS,NORTH,Singapore,Singapore,1.441077949,103.7883135
