school_name,Address,postal_code,mrt_desc,bus_desc,dgp_code,zone_code,City,State
BUKIT BATOK SECONDARY SCHOOL,50   BUKIT BATOK WEST AVE 8,658962,BUKIT BATOK MRT,"66, 66B, 157, 174, 174E, 178, 506, 941, 991",BUKIT BATOK,WEST,Singapore,Singapore
BUKIT MERAH SECONDARY SCHOOL,10   LENGKOK BAHRU,159050,REDHILL MRT,"14, 32, 33, 63, 64, 120, 132, 139, 145, 147, 196, 197, 855, 961",BUKIT MERAH,SOUTH,Singapore,Singapore
BUKIT PANJANG GOVT. HIGH SCHOOL,7    CHOA CHU KANG AVE 4,689809,CHOA CHU KANG MRT,"300, 983",CHOA CHU KANG,WEST,Singapore,Singapore
BUKIT PANJANG PRIMARY SCHOOL,109  CASHEW ROAD,679676,From Pending LRT station to Choa Chu Kang MRT station,"75, 184",BUKIT PANJANG,WEST,Singapore,Singapore
BUKIT TIMAH PRIMARY SCHOOL,111  Lorong Kismis,598112,"Beauty World, Bukit Batok and Clementi Stations",173,BUKIT TIMAH,WEST,Singapore,Singapore
BUKIT VIEW PRIMARY SCHOOL,18   BUKIT BATOK STREET 21,659634,Bukit Batok MRT Station,"173,157,178,852,66,106,61,506,963,77",BUKIT BATOK,WEST,Singapore,Singapore
BUKIT VIEW SECONDARY SCHOOL,16   BUKIT BATOK STREET 21,659633,BUKIT BATOK MRT,"173, 189, 990",BUKIT BATOK,WEST,Singapore,Singapore
CANBERRA PRIMARY SCHOOL,21   ADMIRALTY DRIVE,757714,Sembawang MRT Station,Bus No. 859,SEMBAWANG,NORTH,Singapore,Singapore
CANBERRA SECONDARY SCHOOL,51   SEMBAWANG DRIVE,757699,SEMBAWANG MRT,"859, 962",SEMBAWANG,NORTH,Singapore,Singapore
CANOSSA CATHOLIC PRIMARY SCHOOL,1    Sallim Road,387621,Nearest MRT station: Mattar Station (about 7-minute walk),"Aljunied Road (same side as CCPS): 62, 64, 100    Aljunied Road (opposite CCPS): 61, 62, 64, 66, 100, 135, 154, 155    Merpati Rd (after Jln Anggerek): 40, 61, 63, 65, 66, 135,",GEYLANG,EAST,Singapore,Singapore
CANTONMENT PRIMARY SCHOOL,1    Cantonment Close,88256,Tanjong Pagar Outram,"75, 167, 196",BUKIT MERAH,SOUTH,Singapore,Singapore
CASUARINA PRIMARY SCHOOL,30   PASIR RIS ST 41,518935,Pasir Ris MRT Station,"Nos. 12, 21 & 358",PASIR RIS,EAST,Singapore,Singapore
CATHOLIC HIGH SCHOOL,9    BISHAN STREET 22,579767,BISHAN MRT,"13, 52, 54, 88, 156, 162, 162M, 410",BISHAN,NORTH,Singapore,Singapore
CATHOLIC JUNIOR COLLEGE,129  WHITLEY ROAD,297822,Toa Payoh MRT Station Botanic Gardens MRT Station Novena MRT Station Orchard MRT Station,"105, 132, 151, 153, 154, 156, 186, 996, 985",NOVENA,SOUTH,Singapore,Singapore
CEDAR GIRLS' SECONDARY SCHOOL,1    CEDAR AVENUE,349692,"WOODLEIGH MRT, POTONG PASIR MRT, MATTAR MRT","8, 61, 64, 65, 66, 90, 100, 135, 151, 154, 155",TOA PAYOH,EAST,Singapore,Singapore
CEDAR PRIMARY SCHOOL,15   CEDAR AVENUE,349700,Potong Pasir MRT Station,8; 61; 65; 66; 100; 135; 154;,TOA PAYOH,SOUTH,Singapore,Singapore
CHANGKAT CHANGI SECONDARY SCHOOL,23   SIMEI ST 3,529894,SIMEI MRT,"5, 9, 20, 38",TAMPINES,EAST,Singapore,Singapore
CHANGKAT PRIMARY SCHOOL,11   SIMEI ST 3,529896,Simei MRT Station,"9,38,5",TAMPINES,EAST,Singapore,Singapore
CHIJ (KATONG) PRIMARY,17   MARTIA ROAD,424821,EUNOS PAYA LEBAR,"15, 55, 36, 16, 135, 197, 196, 31, 13, 76, 12, 10, 14, 32, 40",BEDOK,EAST,Singapore,Singapore
CHIJ (KELLOCK),1    Bukit Teresa Road,99757,Outram Park Station,"61, 124, 143, 166",BUKIT MERAH,SOUTH,Singapore,Singapore
CHIJ KATONG CONVENT,346  MARINE TERRACE,449150,KEMBANGAN MRT,"4N, 13, 16, 31, 36, 36A, 36B, 43, 47, 48, 55, 134, 135, 135A, 150, 196, 196E, 197, 853C, 763",MARINE PARADE,EAST,Singapore,Singapore
CHIJ OUR LADY OF GOOD COUNSEL,2C   Burghley Drive,558979,"Ang Mo Kio MRT, Bishan MRT, Serangoon MRT station.","317 Feeder Bus Service from Serangoon Interchange. 135,136 from Ang Mo Kio Interchange.",SERANGOON,SOUTH,Singapore,Singapore
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD,534793,Hougang MRT,"74, 136, 147, 102, 112, 113, 119, 136",HOUGANG,SOUTH,Singapore,Singapore
CHIJ OUR LADY QUEEN OF PEACE,4    Chestnut Drive,679287,"Bukit Batok, Cashew, Hillview, Bukit Panjang","180, 67, 171, 176, 177, 178, 184, 961, 963, 970",BUKIT PANJANG,WEST,Singapore,Singapore
CHIJ PRIMARY (TOA PAYOH),628  Lorong 1 Toa Payoh,319765,Toa Payoh,"59, 231, 141",TOA PAYOH,SOUTH,Singapore,Singapore
CHIJ SECONDARY (TOA PAYOH),626  LORONG 1 TOA PAYOH,319764,TOA PAYOH MRT,"59, 141, 231",TOA PAYOH,SOUTH,Singapore,Singapore
CHIJ ST. JOSEPH'S CONVENT,62   SENGKANG EAST WAY,548595,SENGKANG MRT,"50, 82, 86, 88, 119, 136",SENG KANG,NORTH,Singapore,Singapore
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501  ANG MO KIO STREET 13,569405,"ANG MO KIO MRT, YIO CHU KANG MRT","76, 265, 268, 269",ANG MO KIO,NORTH,Singapore,Singapore
CHIJ ST. THERESA'S CONVENT,160  LOWER DELTA ROAD,99138,"HARBOURFRONT MRT, TIONG BAHRU MRT","65, 121, 123, 123M, 124, 131, 131M, 195, 195A, 272, 855",BUKIT MERAH,SOUTH,Singapore,Singapore
CHONGFU SCHOOL,170  YISHUN AVENUE 6,768959,Yishun MRT station,Feeder Service 811,YISHUN,NORTH,Singapore,Singapore
CHONGZHENG PRIMARY SCHOOL,1    TAMPINES STREET 21,529392,Tampines MRT Station,"3,17,18",TAMPINES,EAST,Singapore,Singapore
CHRIST CHURCH SECONDARY SCHOOL,20   WOODLANDS DRIVE 17,737924,"WOODLANDS MRT, WOODLANDS SOUTH MRT (End 2019)","901, 901M",WOODLANDS,NORTH,Singapore,Singapore
CHUA CHU KANG PRIMARY SCHOOL,20   CHOA CHU KANG AVENUE 2,689905,Choa Chu Kang MRT Station and Southview LRT Station,Bus Service 300,CHOA CHU KANG,WEST,Singapore,Singapore
CHUA CHU KANG SECONDARY SCHOOL,3    TECK WHYE CRESCENT,688845,CHOA CHU KANG MRT,"190, 307, 975, 982E, 985",CHOA CHU KANG,WEST,Singapore,Singapore
CHUNG CHENG HIGH SCHOOL (MAIN),50   GOODMAN ROAD,439012,DAKOTA MRT,"10, 12, 14, 16, 30, 31, 32, 33, 40, 43, 135, 134, 196, 197",MARINE PARADE,EAST,Singapore,Singapore
CHUNG CHENG HIGH SCHOOL (YISHUN),11   YISHUN STREET 61,768547,KHATIB MRT,"85, 811, 812, 851, 852, 853, 854, 855, 858, 860, 965, 969",YISHUN,NORTH,Singapore,Singapore
CLEMENTI PRIMARY SCHOOL,8    CLEMENTI AVE 3,129903,Clementi Station,We are just beside Clementi Bus Interchange.,CLEMENTI,WEST,Singapore,Singapore
CLEMENTI TOWN SECONDARY SCHOOL,10   CLEMENTI AVE 3,129904,CLEMENTI MRT,"14, 105, 106, 147, 156, 165, 166, 173, 175, 184, 196, 282, 284, 285, 7, 96, 99",CLEMENTI,WEST,Singapore,Singapore
COMMONWEALTH SECONDARY SCHOOL,698  WEST COAST ROAD,608784,"JURONG EAST MRT, CLEMENTI MRT","30, 51, 78, 79, 143, 143M, 176, 201",JURONG EAST,WEST,Singapore,Singapore
COMPASSVALE PRIMARY SCHOOL,21   COMPASSVALE ST,545091,Sengkang,"83 (along Compassvale Street) 27, 89, 89E & 965 (along Compassvale Road).",SENG KANG,NORTH,Singapore,Singapore
COMPASSVALE SECONDARY SCHOOL,51   COMPASSVALE CRESCENT,545083,"SENGKANG MRT, COMPASSVALE LRT","27,  82,  83,  86,  88,  89, 89E, 136,  161, 371, 965",SENG KANG,NORTH,Singapore,Singapore
CONCORD PRIMARY SCHOOL,3    CHOA CHU KANG AVE 4,689814,Choa Chu Kang MRT Station,Bus 300 and 983,CHOA CHU KANG,WEST,Singapore,Singapore
CORPORATION PRIMARY SCHOOL,31   JURONG WEST STREET 24,648347,BOON LAY STATION LAKESIDE STATION,"157 (from Boon Lay Interchange), or 185",JURONG WEST,WEST,Singapore,Singapore
CRESCENT GIRLS' SCHOOL,357  TANGLIN ROAD,247961,REDHILL MRT,"32, 111, 122, 132, 51, 139, 186, 970",BUKIT MERAH,SOUTH,Singapore,Singapore
CREST SECONDARY SCHOOL,561  JURONG EAST STREET 24,609561,"BUKIT BATOK MRT, JURONG EAST MRT","52, 98, 98M, 105, 176, 183, 187, 188, 188R, 333, 502,",JURONG EAST,WEST,Singapore,Singapore
DAMAI PRIMARY SCHOOL,52   BEDOK RESERVOIR CRESCENT,479226,Bedok North MRT Station,"Bus 228,66,65,22,21,5 and 506",BEDOK,EAST,Singapore,Singapore
DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD,479229,"BEDOK RESERVOIR MRT, BEDOK MRT, TAMPINES MRT","5, 21, 22, 59, 65, 66, 228, 506, CT18",BEDOK,EAST,Singapore,Singapore
DAZHONG PRIMARY SCHOOL,35   BUKIT BATOK STREET 31,659441,Bukit Gombak,"187, 188",BUKIT BATOK,WEST,Singapore,Singapore
DE LA SALLE SCHOOL,11   Choa Chu Kang St 52,689285,YEW TEE MRT,"TIBS 302, 979",CHOA CHU KANG,WEST,Singapore,Singapore
DEYI SECONDARY SCHOOL,1    ANG MO KIO STREET 42,569277,ANG MO KIO MRT,"22, 24, 25, 73, 74, 76, , 88, 132, 135, 159, 162, 165, 261, 262, 268, 853",ANG MO KIO,SOUTH,Singapore,Singapore
DUNEARN SECONDARY SCHOOL,21   BUKIT BATOK WEST AVENUE 2,659204,"BUKIT BATOK MRT, BUKIT GOMBAK MRT","160, 180, 187, 188, 945, 947, 985",BUKIT BATOK,WEST,Singapore,Singapore
DUNMAN HIGH SCHOOL,10   TANJONG RHU ROAD,436895,"ALJUNIED MRT, KALLANG MRT, MOUNTBATTEN MRT","12, 14, 30, 158, 196",KALLANG,EAST,Singapore,Singapore
DUNMAN SECONDARY SCHOOL,21   TAMPINES STREET 45,529093,TAMPINES EAST MRT,"28, 29, 293",TAMPINES,EAST,Singapore,Singapore
EAST SPRING PRIMARY SCHOOL,31   TAMPINES ST 33,529258,Tampines,"291, 28",TAMPINES,EAST,Singapore,Singapore
EAST SPRING SECONDARY SCHOOL,30   TAMPINES STREET 34,529231,"TAMPINES MRT, TAMPINES EAST MRT","3, 4, 9, 12, 17, 18, 19, 21, 28, 29, 34, 37, 39, 59, 81, 291, 518",TAMPINES,EAST,Singapore,Singapore
EDGEFIELD PRIMARY SCHOOL,41   EDGEFIELD PLAINS,828869,Punggol MRT,"3, 34, 62, 82, 83, 136",PUNGGOL,NORTH,Singapore,Singapore
EDGEFIELD SECONDARY SCHOOL,36   PUNGGOL FIELD,828814,PUNGGOL MRT,"3, 34, 62, 82, 83, 119, 136, 381, 382G",PUNGGOL,NORTH,Singapore,Singapore
ELIAS PARK PRIMARY SCHOOL,11   PASIR RIS STREET 52,518866,Pasir Ris MRT,"3, 15, 39, 53, 81, 88, 89, 357, 403, 518",PASIR RIS,EAST,Singapore,Singapore
ENDEAVOUR PRIMARY SCHOOL,10   Admiralty Link,757521,Sembawang MRT Station,"859, 962",SEMBAWANG,NORTH,Singapore,Singapore
EUNOIA JUNIOR COLLEGE,2    Sin Ming Place,573838,"Bishan MRT Station, Marymount MRT Station, Ang Mo Kio MRT Station","13, 52, 74, 88, 130, 410G, 410W, 851, 852",BISHAN,NORTH,Singapore,Singapore
EUNOS PRIMARY SCHOOL,95   JALAN EUNOS,419529,Nearest MRT Station - Eunos,"Bus Services (SBS): 15, 21, 25, 51, 55, 63, 93, 94, 60 Bus Services (SMRT) : 61, 854, 966",GEYLANG,EAST,Singapore,Singapore
EVERGREEN PRIMARY SCHOOL,31   WOODLANDS CIRCLE,738908,Admiralty,"913(front), 911 & 858(back)",WOODLANDS,NORTH,Singapore,Singapore
EVERGREEN SECONDARY SCHOOL,11   WOODLANDS STREET 83,738489,WOODLANDS MRT,911,WOODLANDS,NORTH,Singapore,Singapore
FAIRFIELD METHODIST SCHOOL (PRIMARY),100  DOVER ROAD,139648,"One-North MRT, Buona Vista MRT & Dover MRT","SBS Bus 14,33,74,166 & 196",QUEENSTOWN,SOUTH,Singapore,Singapore
FAIRFIELD METHODIST SCHOOL (SECONDARY),102  DOVER ROAD,139649,"BUONA VISTA MRT, ONE-NORTH MRT","33, 74, 166, 196",QUEENSTOWN,SOUTH,Singapore,Singapore
FAJAR SECONDARY SCHOOL,31   GANGSA ROAD,678972,"BUKIT PANJANG MRT, BUKIT PANJANG LRT, PETIR LRT","67, 75, 75A, 170, 171, 176, 177, 178, 180, 180A, 920, 922, 960, 961, 961C, 963, 963E, 963R, 970, 972, 972A, 973, 973A, 975, 979",BUKIT PANJANG,WEST,Singapore,Singapore
FARRER PARK PRIMARY SCHOOL,2    FARRER PARK ROAD,217567,Farrer Park MRT Station,131,KALLANG,SOUTH,Singapore,Singapore
FENGSHAN PRIMARY SCHOOL,307  BEDOK NORTH ROAD,469680,Bedok MRT,"18, 228, 222, 17, 69, 66, 67, 168, 28, 506, 14, 45",BEDOK,EAST,Singapore,Singapore
FERN GREEN PRIMARY SCHOOL,70   Fernvale Link,797538,Kupang LRT Station (SW3),"85, 102",SENG KANG,EAST,Singapore,Singapore
FERNVALE PRIMARY SCHOOL,1    Fernvale Lane,797701,Fernvale LRT (Sengkang West Loop),"Sengkang and Toa Payoh interchange - no 163, Along Yio Chu Kang Road, - no 70, 86, 103 and 854.",SENG KANG,NORTH,Singapore,Singapore
FIRST TOA PAYOH PRIMARY SCHOOL,7    LORONG 8 TOA PAYOH,319252,Braddell & Toa Payoh Stations,"157,153,105,159,88,FS238",TOA PAYOH,SOUTH,Singapore,Singapore
FRONTIER PRIMARY SCHOOL,20   Jurong West Street 61,648200,Pioneer MRT Station (EW28),241,JURONG WEST,WEST,Singapore,Singapore
FUCHUN PRIMARY SCHOOL,23   WOODLANDS AVENUE 1,739063,Marsiling,"187,856,912,925,950,960,961,963,963E,963R,966",WOODLANDS,NORTH,Singapore,Singapore
FUCHUN SECONDARY SCHOOL,21   WOODLANDS AVENUE 1,739062,"MARSILING MRT, WOODLANDS MRT","187, 856, 912, 913M, 925, 926, 950, 960, 961, 963, 966, 912B",WOODLANDS,NORTH,Singapore,Singapore
FUHUA PRIMARY SCHOOL,65   JURONG EAST STREET 13,609647,JURONG EAST MRT STATION,"51,66,66B,78,79,97,97A,98,105,105B,143,176,197,333,334,335,506",JURONG EAST,WEST,Singapore,Singapore
FUHUA SECONDARY SCHOOL,5    JURONG WEST STREET 41,649410,"CHINESE GARDEN MRT, LAKESIDE MRT","49, 98, 99, 157, 180, 185, 187, 198, 334, 335, 502, 657",JURONG WEST,WEST,Singapore,Singapore
GAN ENG SENG PRIMARY SCHOOL,100  REDHILL CLOSE,158901,Redhill,"14, 63, 147, 196, 197, 855, 961",BUKIT MERAH,SOUTH,Singapore,Singapore
GAN ENG SENG SCHOOL,1    HENDERSON ROAD,159561,"REDHILL MRT, TIONG BAHRU MRT","14, 16, 32, 33, 51, 63, 64, 120, 122, 145, 139, 186, 851, 970",BUKIT MERAH,SOUTH,Singapore,Singapore
GEYLANG METHODIST SCHOOL (PRIMARY),4    Geylang East Central,389706,Aljunied,"80, 134, 155",GEYLANG,EAST,Singapore,Singapore
GEYLANG METHODIST SCHOOL (SECONDARY),2    GEYLANG EAST CENTRAL,389705,ALJUNIED MRT,"40, 62, 63, 80, 100, 125, 134, 155, 158",GEYLANG,EAST,Singapore,Singapore
GONGSHANG PRIMARY SCHOOL,1    TAMPINES STREET 42,529176,Tampines (Downtown Line and East West Line) and Tampines East (Downtown Line),"4,8,18,19,21,37,38,81, 293",TAMPINES,EAST,Singapore,Singapore
GREENDALE PRIMARY SCHOOL,50   Edgedale Plains,828848,Punggol LRT:  Coral Edge,"3,62, 83, 85, 389",PUNGGOL,NORTH,Singapore,Singapore
GREENDALE SECONDARY SCHOOL,51   EDGEDALE PLAINS,828866,"PUNGGOL MRT, MERIDIAN LRT","3, 62, 83, 85, 136, 386",PUNGGOL,NORTH,Singapore,Singapore
GREENRIDGE PRIMARY SCHOOL,11   JELAPANG ROAD,677744,"Senja LRT station, Jelapang LRT Station","Bus 920, 922, 972",BUKIT PANJANG,WEST,Singapore,Singapore
GREENRIDGE SECONDARY SCHOOL,32   BUKIT PANJANG RING ROAD,679938,BANGKIT LRT,"722, 920, 922, 971E, 972",BUKIT PANJANG,WEST,Singapore,Singapore
GREENWOOD PRIMARY SCHOOL,11   WOODLANDS  DR  62,737942,Admiralty MRT Station,"912, 913, 962",WOODLANDS,NORTH,Singapore,Singapore
GUANGYANG PRIMARY SCHOOL,6    Bishan Street 12,579806,Bishan MRT,"13,52,54,55,56,57,59,88,93,156,157,163,410",BISHAN,SOUTH,Singapore,Singapore
GUANGYANG SECONDARY SCHOOL,8    BISHAN STREET 12,579807,BISHAN MRT,"13, 56, 57, 59, 71, 88, 93, 157, 163, 410",BISHAN,SOUTH,Singapore,Singapore
HAI SING CATHOLIC SCHOOL,9    PASIR RIS DRIVE 6,519421,PASIR RIS MRT,"3, 5, 6, 12, 17, 21, 89, 354, 358",PASIR RIS,EAST,Singapore,Singapore
HAIG GIRLS' SCHOOL,51   Koon Seng Road,427072,"Eunos, Dakota","16,33",GEYLANG,EAST,Singapore,Singapore
HENRY PARK PRIMARY SCHOOL,1    HOLLAND GROVE ROAD,278790,"Buona Vista MRT, Clementi MRT","7, 61, 75, 156, 157, 165, 92",BUKIT TIMAH,WEST,Singapore,Singapore
HILLGROVE SECONDARY SCHOOL,10   BUKIT BATOK STREET 52,659250,"BUKIT BATOK MRT, BUKIT GOMBAK MRT","176, 985, 945",BUKIT BATOK,WEST,Singapore,Singapore
HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD,534786,HOUGANG MRT,"27, 72, 74, 80, 87, 89, 101, 107, 113, 116, 119, 132, 136, 147, 153, 161, 165, 324, 325",HOUGANG,SOUTH,Singapore,Singapore
HOLY INNOCENTS' PRIMARY SCHOOL,5    Lorong Low Koon,536451,2km walk to Hougang MRT,"51,72,80,101,119,132,136,153.",HOUGANG,SOUTH,Singapore,Singapore
HONG WEN SCHOOL,30   TOWNER ROAD,327829,Boon Keng MRT,"Serangoon Road: 13, 23, 31, 64, 65, 66, 125, 133, 147, 857, 985 Balestier Road: 21, 125, 130, 139, 145",KALLANG,SOUTH,Singapore,Singapore
HORIZON PRIMARY SCHOOL,61   Edgedale Plains,828819,Punggol MRT Station,"83, 85, 3",PUNGGOL,NORTH,Singapore,Singapore
HOUGANG PRIMARY SCHOOL,1    HOUGANG ST 93,534238,"Ang Mo Kio, Buangkok, Hougang, Yio Chu Kang","SBS 43, 72, 88, 101, 109, 116, 156, 159, 325",HOUGANG,NORTH,Singapore,Singapore
HOUGANG SECONDARY SCHOOL,2    HOUGANG STREET 93,534256,"HOUGANG MRT, BUANGKOK MRT","43, 88, 101, 109, 156, 159, 161, 325, 329",HOUGANG,NORTH,Singapore,Singapore
HUA YI SECONDARY SCHOOL,60   JURONG WEST ST 42,649371,"LAKESIDE MRT, CHINESE GARDEN MRT","98, 98A, 99, 157, 187, 198, 334, 335, 502",JURONG WEST,WEST,Singapore,Singapore
HUAMIN PRIMARY SCHOOL,21   YISHUN AVENUE 11,768857,Yishun MRT Station,"806, 804",YISHUN,NORTH,Singapore,Singapore
HWA CHONG INSTITUTION,661  BUKIT TIMAH ROAD,269734,TAN KAH KEE MRT,"66, 67, 74, 151, 154, 156, 157, 170, 171, 174, 852, 961",BUKIT TIMAH,WEST,Singapore,Singapore
INNOVA PRIMARY SCHOOL,80   Woodlands Drive 17,737888,Woodlands,"900A (weekdays only - 7.00 am to 8.30 am & 4.30 pm to 6.30 pm), 901",WOODLANDS,NORTH,Singapore,Singapore
JIEMIN PRIMARY SCHOOL,2    YISHUN STREET 71,768515,Yishun MRT Station,"167,169,171,800,811,000,000,000,000,000,000",YISHUN,NORTH,Singapore,Singapore
JING SHAN PRIMARY SCHOOL,5    ANG MO KIO ST 52,569228,Ang Mo Kio MRT,Bus 265,ANG MO KIO,SOUTH,Singapore,Singapore
JUNYUAN PRIMARY SCHOOL,2    Tampines Street 91,528906,Tampines West (Downtown Line); Tampines (EW Line),"5, 8, 10, 15, 18, 21, 22, 23, 27, 28, 31, 34, 39, 59, 65, 67, 168, 292, 293",TAMPINES,EAST,Singapore,Singapore
JUNYUAN SECONDARY SCHOOL,11   TAMPINES STREET 84,528933,"TAMPINES MRT, TAMPINES WEST MRT","69, 291, 293",TAMPINES,EAST,Singapore,Singapore
JURONG PIONEER JUNIOR COLLEGE,21   Teck Whye Walk,688258,Choa Chu Kang / Bt Panjang / Phoenix Station (LRT),"975, 190, 985",CHOA CHU KANG,WEST,Singapore,Singapore
JURONG PRIMARY SCHOOL,320  JURONG EAST Street 32,609476,"Lakeside MRT Station, Jurong East MRT Station",333,JURONG EAST,WEST,Singapore,Singapore
JURONG SECONDARY SCHOOL,31   YUAN CHING ROAD,618652,LAKESIDE MRT,"30, 49, 98, 98A, 154, 240, 246",JURONG WEST,WEST,Singapore,Singapore
JURONG WEST PRIMARY SCHOOL,30   JURONG WEST ST 61,648368,Pioneer MRT Station,192,JURONG WEST,WEST,Singapore,Singapore
JURONG WEST SECONDARY SCHOOL,61   JURONG WEST STREET 65,648348,"BOON LAY MRT, PIONEER MRT","30, 154, 157, 180, 187, 198, 242",JURONG WEST,WEST,Singapore,Singapore
JURONGVILLE SECONDARY SCHOOL,202  JURONG EAST AVENUE 1,609790,"JURONG EAST MRT, CHINESE GARDEN MRT","98, 99, 157, 185, 187, 198, 334, 502",JURONG EAST,WEST,Singapore,Singapore
JUYING PRIMARY SCHOOL,31   JURONG WEST STREET 91,649037,Boon Lay MRT Station (Jurong Point),SBS 99 (From Clementi Inter-change) SBS 241 (From Boon Lay Inter-change),JURONG WEST,WEST,Singapore,Singapore
JUYING SECONDARY SCHOOL,33   JURONG WEST STREET 91,649038,"BOON LAY MRT, PIONEER MRT, JOO KOON MRT","99, 241",JURONG WEST,WEST,Singapore,Singapore
KEMING PRIMARY SCHOOL,90   BUKIT BATOK EAST AVENUE 6,659762,Bukit Batok,"61,66,77,106,157,174,178,963",BUKIT BATOK,WEST,Singapore,Singapore
KENT RIDGE SECONDARY SCHOOL,147  WEST COAST ROAD,127368,"CLEMENTI MRT, HAW PAR VILLA MRT","30, 51, 143, 175, 176, 201, 282",CLEMENTI,SOUTH,Singapore,Singapore
KHENG CHENG SCHOOL,15   LORONG 3 TOA PAYOH,319580,Braddell,"SBS 235,56,73,88,157,159,163,231,",TOA PAYOH,SOUTH,Singapore,Singapore
KONG HWA SCHOOL,350  GUILLEMARD ROAD,399772,Dakota,"Service 7,70,70M,197(to Guillemard Road)",GEYLANG,EAST,Singapore,Singapore
KRANJI PRIMARY SCHOOL,11   CHOA CHU KANG STREET 54,689189,Yew Tee MRT,"Bus No 307, 302",CHOA CHU KANG,WEST,Singapore,Singapore
KRANJI SECONDARY SCHOOL,61   CHOA CHU KANG STREET 51,689333,"CHUA CHU KANG MRT, YEW TEE MRT",302,CHOA CHU KANG,WEST,Singapore,Singapore
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8    BISHAN STREET 13,579793,Bishan MRT Station,"54, 56, 410, 410G",BISHAN,SOUTH,Singapore,Singapore
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10   BISHAN STREET 13,579795,BISHAN MRT,"53, 54, 56, 410G, 410W",BISHAN,SOUTH,Singapore,Singapore
LAKESIDE PRIMARY SCHOOL,161  Corporation Walk,618310,Lakeside MRT,"98, 98A, 30",JURONG WEST,WEST,Singapore,Singapore
LIANHUA PRIMARY SCHOOL,2    BUKIT BATOK STREET 52,659243,Bukit Gombak/Bukit Batok,945,BUKIT BATOK,WEST,Singapore,Singapore
LOYANG VIEW SECONDARY SCHOOL,12   PASIR RIS STREET 11,519073,PASIR RIS MRT,"12, 21, 39, 53, 81, 109, 359, 518",PASIR RIS,EAST,Singapore,Singapore
MAHA BODHI SCHOOL,10   UBI AVENUE 1,408931,"Eunos Station (Transfer Bus No.63, 63M) Ubi Station (Transfer Bus No. 137)","5,8,15,22,25,45,51,55,59,61,63,63M,65,66,93,94,854",GEYLANG,EAST,Singapore,Singapore
MANJUSRI SECONDARY SCHOOL,20   UBI AVENUE 1,408940,"UBI MRT, MACPHERSON MRT","5, 8, 15, 22, 25, 45, 51, 55, 59, 61, 63, 63M, 65, 66, 93, 94, 854",GEYLANG,EAST,Singapore,Singapore
MARIS STELLA HIGH SCHOOL,25   MOUNT VERNON ROAD,368051,BARTLEY MRT,"28, 93, 100, 135, 155, 158",TOA PAYOH,NORTH,Singapore,Singapore
MARSILING PRIMARY SCHOOL,31   WOODLANDS CENTRE ROAD,738927,Marsiling MRT Station,"856, 911, 912",WOODLANDS,NORTH,Singapore,Singapore
MARSILING SECONDARY SCHOOL,12   MARSILING ROAD,739110,MARSILING MRT,"913, 911",WOODLANDS,NORTH,Singapore,Singapore
MARYMOUNT CONVENT SCHOOL,20   Marymount Road,297754,Braddell MRT Station or  Caldecott MRT Station,"141, 235",TOA PAYOH,SOUTH,Singapore,Singapore
MAYFLOWER PRIMARY SCHOOL,6    ANG MO KIO AVE 2,569948,Yio Chu Kang MRT Station.,"13,86,138,162,269,851,852,853.",ANG MO KIO,SOUTH,Singapore,Singapore
MAYFLOWER SECONDARY SCHOOL,2    ANG MO KIO STREET 21,569384,"ANG MO KIO MRT, MAYFLOWER MRT (Targeted to open in 2020)","71, 76, 132, 165, 166, 169, 262, 265, 268, 269",ANG MO KIO,SOUTH,Singapore,Singapore
MEE TOH SCHOOL,21   EDGEDALE PLAINS,828867,Punggol Station,"3,62,83",PUNGGOL,NORTH,Singapore,Singapore
MERIDIAN PRIMARY SCHOOL,20   PASIR RIS ST 71,518798,Pasir Ris MRT Station,"3,359",PASIR RIS,EAST,Singapore,Singapore
MERIDIAN SECONDARY SCHOOL,31   PASIR RIS STREET 51,518901,PASIR RIS MRT,"39, 53, 81, 89, 109, 359, 403, 518",PASIR RIS,EAST,Singapore,Singapore
METHODIST GIRLS' SCHOOL (PRIMARY),11   Blackmore Drive,599986,King Albert Park MRT,"66, 67, 74, 151, 154, 157, 170, 171,174",BUKIT TIMAH,WEST,Singapore,Singapore
METHODIST GIRLS' SCHOOL (SECONDARY),11   BLACKMORE DRIVE,599986,KING ALBERT PARK MRT,"66, 67, 74, 77, 151, 154, 157, 170, 171, 174, 563, 852, 961, 970",BUKIT TIMAH,WEST,Singapore,Singapore
MILLENNIA INSTITUTE,60   Bukit Batok West Avenue 8,658965,Bukit Batok (NS-2),"66, 157, 174, 174E, 506 , 178, 941, 174M - Night",BUKIT BATOK,WEST,Singapore,Singapore
MONTFORT JUNIOR SCHOOL,52   HOUGANG AVENUE 8,538786,Hougang MRT & Bus Interchange,"74,88,101,147,161,",HOUGANG,NORTH,Singapore,Singapore
